aid,katz_centrality_R,sqid,num_bff_noms,nominations,mbff_reciprocity,fbff_reciprocity
57104253,1,104253,0,0,0,0
57104290,1,104290,0,0,0,0
57104304,1,104304,0,0,0,0
57104310,1,104310,0,0,0,0
57104315,1,104315,0,0,0,0
57104373,1,104373,0,0,0,0
57104404,1,104404,0,0,0,0
57104415,1,104415,0,0,0,0
57104426,1,104426,0,0,0,0
57104462,1,104462,0,0,0,0
57104553,1,104553,0,0,0,0
57104634,1,104634,0,0,0,0
57104648,1,104648,0,0,0,0
57104649,1,104649,0,0,0,0
57104676,1,104676,0,0,0,0
57104678,1,104678,0,0,0,0
57104679,1,104679,0,0,0,0
57104680,1,104680,0,0,0,0
57104699,1,104699,0,0,0,0
57104700,1,104700,0,0,0,0
57104703,1,104703,0,0,0,0
57104726,1,104726,0,0,0,0
57104739,1,104739,0,0,0,0
57104750,1,104750,0,0,0,0
57104957,1,104957,0,0,0,0
57104982,1,104982,0,0,0,0
57105028,1,105028,0,0,0,0
57105033,1,105033,0,0,0,0
57105051,1,105051,0,0,0,0
57105069,1,105069,0,0,0,0
57105079,1,105079,0,0,0,0
57105440,1,105440,0,0,0,0
57105496,1,105496,0,0,0,0
57105515,1,105515,0,0,0,0
57105517,1,105517,0,0,0,0
57105528,1,105528,0,0,0,0
57105647,1,105647,0,0,0,0
57105677,1,105677,0,0,0,0
57106020,1,106020,0,0,0,0
57106044,1,106044,0,0,0,0
57106051,1,106051,0,0,0,0
57106121,1,106121,0,0,0,0
57106184,1,106184,0,0,0,0
57106223,1,106223,0,0,0,0
57106284,1,106284,0,0,0,0
57106297,1,106297,0,0,0,0
57106513,1,106513,0,0,0,0
57106676,1,106676,0,0,0,0
57106701,1,106701,0,0,0,0
57106706,1,106706,0,0,0,0
57106785,1,106785,0,0,0,0
57106810,1,106810,0,0,0,0
57106814,1,106814,0,0,0,0
57106863,1,106863,0,0,0,0
57106951,1,106951,0,0,0,0
57107036,1,107036,0,0,0,0
57107040,1,107040,0,0,0,0
57107080,1,107080,0,0,0,0
57107114,1,107114,0,0,0,0
57107123,1,107123,0,0,0,0
57107237,1,107237,0,0,0,0
57107279,1,107279,0,0,0,0
57107314,1,107314,0,0,0,0
57107337,1,107337,0,0,0,0
57107443,1,107443,0,0,0,0
57107480,1,107480,0,0,0,0
57107484,1,107484,0,0,0,0
57107521,1,107521,0,0,0,0
57107571,1,107571,0,0,0,0
57107761,1,107761,0,0,0,0
57107781,1,107781,0,0,0,0
57107838,1,107838,0,0,0,0
57107916,1,107916,0,0,0,0
57108044,1,108044,0,0,0,0
57108250,1,108250,0,0,0,0
57108310,1,108310,0,0,0,0
57108400,1,108400,0,0,0,0
57108423,1,108423,0,0,0,0
57108591,1,108591,0,0,0,0
57108635,1,108635,0,0,0,0
57108650,1,108650,0,0,0,0
57108659,1,108659,0,0,0,0
57109009,1,109009,0,0,0,0
57109025,1,109025,0,0,0,0
57109037,1,109037,0,0,0,0
57109072,1,109072,0,0,0,0
57109081,1,109081,0,0,0,0
57109119,1,109119,0,0,0,0
57109120,1,109120,0,0,0,0
57109129,1,109129,0,0,0,0
57109202,1,109202,0,0,0,0
57109228,1,109228,0,0,0,0
57109274,1,109274,0,0,0,0
57109611,1,109611,0,0,0,0
57109625,1,109625,0,0,0,0
57109644,1,109644,0,0,0,0
57109666,1,109666,0,0,0,0
57109685,1,109685,0,0,0,0
57109828,1,109828,0,0,0,0
57109953,1,109953,0,0,0,0
57109982,1,109982,0,0,0,0
57110089,1,110089,0,0,0,0
57110091,1,110091,0,0,0,0
57110111,1,110111,0,0,0,0
57110125,1,110125,0,0,0,0
57110211,1,110211,0,0,0,0
57110234,1,110234,0,0,0,0
57110255,1,110255,0,0,0,0
57110265,1,110265,0,0,0,0
57110266,1,110266,0,0,0,0
57110390,1,110390,0,0,0,0
57110428,1,110428,0,0,0,0
57110446,1,110446,0,0,0,0
