term,estimate,std.error,statistic,p.value,outcome,lwr,upr,model
nhood1_d,0.0103205378210246,0.00445961639899932,2.31422097724379,0.0206556038642248,w4.cigarettes.bin.30,0.00157985029412177,0.0190612253479275,Model  2
w4.GE_male_std,0.225827675292135,0.0396354627808936,5.69761671613422,1.21493805473621e-08,w4.cigarettes.bin.30,0.148143595731006,0.303511754853264,Model  2
w1.cigarettes,1.15808116972909,0.0953627588706726,12.1439562303313,6.17657696690337e-34,w4.cigarettes.bin.30,0.971173596876193,1.34498874258198,Model  2
(Intercept),0.261615734383062,0.18552341416003,1.41014941735277,0.158495568045251,w4.cigarettes.bin.30,-0.102003475659504,0.625234944425628,Model  3
raceNon Hispanic Black/Af-Am,-0.128361441401559,0.137577594243872,-0.933011237091582,0.350814166489263,w4.cigarettes.bin.30,-0.398008571199214,0.141285688396096,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.220131796451643,0.219746240822853,-1.00175454937179,0.31646215359034,w4.cigarettes.bin.30,-0.6508265142025,0.210562921299214,Model  3
raceHispanic,-0.306634885700292,0.142857181997587,-2.14644361181275,0.0318376030170083,w4.cigarettes.bin.30,-0.586629817348447,-0.0266399540521383,Model  3
raceMultiple Races or Other,0.253094350080801,0.179748463059486,1.40804736670845,0.159117044691699,w4.cigarettes.bin.30,-0.0992061637922204,0.605394863953822,Model  3
pseudo.gpa,-0.396841120564404,0.0496817090512552,-7.98767047556666,1.37512426748172e-15,w4.cigarettes.bin.30,-0.494215480995262,-0.299466760133546,Model  3
sespc_al,-0.0110739721976581,0.0368032372566319,-0.30089668798531,0.763493275958138,w4.cigarettes.bin.30,-0.0832069917351392,0.0610590473398231,Model  3
nhood1_d,0.0102997019282471,0.00445325005819023,2.31285056838529,0.0207308563933762,w4.cigarettes.bin.30,0.00157149220004336,0.0190279116564509,Model  3
delta_w1_w4_GE,0.0494309709811823,0.0291252987360818,1.69718331231896,0.0896620090682813,w4.cigarettes.bin.30,-0.00765356558050788,0.106515507542872,Model  3
w1.cigarettes,1.18096152324209,0.0942253446178203,12.5333744125012,4.90312217946973e-36,w4.cigarettes.bin.30,0.996283241360291,1.3656398051239,Model  3
(Intercept),0.825595562386368,0.211612700704877,3.90144617802395,9.56197231878232e-05,w4.drunk.bin.30,0.410842290333556,1.24034883443918,Model  1
raceNon Hispanic Black/Af-Am,-0.167640096604152,0.12438971699855,-1.34770060298559,0.177754698073945,w4.drunk.bin.30,-0.41143946196844,0.0761592687601351,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.22681388830215,0.223897189841793,-1.01302695430174,0.31104728636741,w4.drunk.bin.30,-0.665644316631791,0.212016540027491,Model  1
raceHispanic,0.237259022946631,0.133088417699315,1.7827172871096,0.074632335842588,w4.drunk.bin.30,-0.0235894825034487,0.498107528396711,Model  1
raceMultiple Races or Other,0.0669046618136999,0.197712933867894,0.338392944279526,0.735067090501672,w4.drunk.bin.30,-0.320605567845122,0.454414891472522,Model  1
pseudo.gpa,0.120440573830376,0.0656940009459355,1.8333572639227,0.066749458627772,w4.drunk.bin.30,-0.00831730202399819,0.249198449684749,Model  1
sespc_al,0.175194863316951,0.0336147863810398,5.21183925820717,1.8697752813947e-07,w4.drunk.bin.30,0.109311092662106,0.241078633971797,Model  1
nhood1_d,-0.0202474336958472,0.0045871373654138,-4.41395844138205,1.01497451152778e-05,w4.drunk.bin.30,-0.0292380577241962,-0.0112568096674982,Model  1
w1.GE_male_std,0.0485587791201971,0.0428336185428418,1.1336604464465,0.256937007092953,w4.drunk.bin.30,-0.0353935705512999,0.132511128791694,Model  1
