outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.321013441456124,0.264120317525683,-1.21540608637542,0.224211247821878,-0.838679751391745,0.196652868479498,Model  3
w4.cigarettes.bin.30,raceHispanic,-0.248363024301968,0.169735769027515,-1.46323326971645,0.143403560081478,-0.581039018484107,0.0843129698801712,Model  3
w4.cigarettes.bin.30,raceMultiple Races or Other,0.109915526283831,0.211782778403485,0.519001247941049,0.603759871002844,-0.305171091932827,0.525002144500489,Model  3
w4.cigarettes.bin.30,pseudo.gpa,-0.376894770189541,0.0630333248205805,-5.97929383008659,2.24107000948812e-09,-0.500437816663693,-0.253351723715388,Model  3
w4.cigarettes.bin.30,sespc_al,0.0156847152224911,0.0429309635413069,0.365347384001752,0.714852111992301,-0.0684584271400726,0.0998278575850547,Model  3
w4.cigarettes.bin.30,nhood1_d,0.0110804037011933,0.0056007669513248,1.97837256888047,0.0478866919355188,0.000103102190794501,0.0220577052115921,Model  3
w4.cigarettes.bin.30,delta_w1_w4_GE,0.0876243088948944,0.0367439764194732,2.38472580905686,0.0170918550003851,0.0156074384639379,0.159641179325851,Model  3
w4.cigarettes.bin.30,w1.cigarettes,1.21236744569971,0.112883343370356,10.7400029933742,6.60422451607013e-27,0.99112015823934,1.43361473316007,Model  3
w4.drunk.bin.30,(Intercept),0.967642437475994,0.244985464833427,3.94979529962695,7.8218057519146e-05,0.487479749666673,1.44780512528532,Model  1
w4.drunk.bin.30,raceNon Hispanic Black/Af-Am,-0.0685497631699256,0.156053470059389,-0.439270995664741,0.660465187762389,-0.374408944148827,0.237309417808976,Model  1
w4.drunk.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.194726804839134,0.262555067355383,-0.741660813483979,0.458292867773035,-0.709325280814172,0.319871671135904,Model  1
w4.drunk.bin.30,raceHispanic,0.317923725941545,0.206773555141291,1.53754538738913,0.124159809389952,-0.0873449950906923,0.723192446973781,Model  1
w4.drunk.bin.30,raceMultiple Races or Other,0.242855476001561,0.234110960957549,1.03735201038109,0.299571834876297,-0.215993575861297,0.701704527864419,Model  1
w4.drunk.bin.30,pseudo.gpa,0.16738032227149,0.0727024125103631,2.30226641031523,0.0213201528527744,0.0248862121620047,0.309874432380976,Model  1
w4.drunk.bin.30,sespc_al,0.0841464248371018,0.0409737980659784,2.05366426372299,0.0400081976035874,0.00383925631796732,0.164453593356236,Model  1
w4.drunk.bin.30,nhood1_d,-0.025583769489357,0.00534566763608335,-4.78588854209082,1.70232513441705e-06,-0.0360610855294018,-0.0151064534493123,Model  1
w4.drunk.bin.30,w1.GE_male_std,0.0934345239608725,0.0496238175545561,1.88285642994216,0.0597198272092538,-0.0038263712214439,0.190695419143189,Model  1
